id,时间,层级,所属季节,类别,名称,内容,数据来源
KB0228,4月,月份,春,蔬菜汇总,4月的蔬菜,4月的应季蔬菜共 10 种：小白菜、莴笋、鸡毛菜、芹菜、春笋、香椿、韭菜、豌豆苗、蚕豆、荠菜。,用户参考
KB0229,5月,月份,春,水果,草莓,5月的应季水果有草莓。,用户参考
KB0230,5月,月份,春,水果,枇杷,5月的应季水果有枇杷。,用户参考
KB0231,5月,月份,春,水果,桑葚,5月的应季水果有桑葚。,用户参考
KB0232,5月,月份,春,水果,樱桃,5月的应季水果有樱桃。,用户参考
KB0233,5月,月份,春,水果,芒果,5月的应季水果有芒果。,用户参考
KB0234,5月,月份,春,水果,杨梅,5月的应季水果有杨梅。,用户参考
KB0235,5月,月份,春,水果,油桃,5月的应季水果有油桃。,用户参考
KB0236,5月,月份,春,水果,李子,5月的应季水果有李子。,用户参考
KB0237,5月,月份,春,水果,荔枝,5月的应季水果有荔枝（早熟）。,用户参考
KB0238,5月,月份,春,蔬菜,小白菜,5月的应季蔬菜有小白菜。,用户参考
KB0239,5月,月份,春,蔬菜,卷心菜,5月的应季蔬菜有卷心菜。,用户参考
KB0240,5月,月份,春,蔬菜,莴笋,5月的应季蔬菜有莴笋。,用户参考
KB0241,5月,月份,春,蔬菜,鸡毛菜,5月的应季蔬菜有鸡毛菜。,用户参考
KB0242,5月,月份,春,蔬菜,黄瓜,5月的应季蔬菜有黄瓜。,用户参考
KB0243,5月,月份,春,蔬菜,番茄,5月的应季蔬菜有番茄。,用户参考
KB0244,5月,月份,春,蔬菜,蚕豆,5月的应季蔬菜有蚕豆。,用户参考
KB0245,5月,月份,春,蔬菜,茭白,5月的应季蔬菜有茭白。,用户参考
KB0246,5月,月份,春,蔬菜,茄子,5月的应季蔬菜有茄子。,用户参考
KB0247,5月,月份,春,蔬菜,丝瓜,5月的应季蔬菜有丝瓜。,用户参考
KB0248,5月,月份,春,蔬菜,苦瓜,5月的应季蔬菜有苦瓜。,用户参考
KB0249,5月,月份,春,水果汇总,5月的水果,5月的应季水果共 9 种：草莓、枇杷、桑葚、樱桃、芒果、杨梅、油桃、李子、荔枝（早熟）。,用户参考
KB0250,5月,月份,春,蔬菜汇总,5月的蔬菜,5月的应季蔬菜共 11 种：小白菜、卷心菜、莴笋、鸡毛菜、黄瓜、番茄、蚕豆、茭白、茄子、丝瓜、苦瓜。,用户参考
KB0251,6月,月份,夏,水果,西瓜,6月的应季水果有西瓜。,用户参考
KB0252,6月,月份,夏,水果,杨梅,6月的应季水果有杨梅。,用户参考
KB0253,6月,月份,夏,水果,樱桃,6月的应季水果有樱桃。,用户参考
KB0254,6月,月份,夏,水果,荔枝,6月的应季水果有荔枝。,用户参考
KB0255,6月,月份,夏,水果,枇杷,6月的应季水果有枇杷（尾季）。,用户参考
KB0256,6月,月份,夏,水果,水蜜桃,6月的应季水果有水蜜桃。,用户参考
KB0257,6月,月份,夏,水果,哈密瓜,6月的应季水果有哈密瓜。,用户参考
KB0258,6月,月份,夏,水果,火龙果,6月的应季水果有火龙果。,用户参考
KB0259,6月,月份,夏,水果,龙眼,6月的应季水果有龙眼。,用户参考
KB0260,6月,月份,夏,水果,葡萄,6月的应季水果有葡萄（早熟）。,用户参考
KB0261,6月,月份,夏,蔬菜,黄瓜,6月的应季蔬菜有黄瓜。,用户参考
KB0262,6月,月份,夏,蔬菜,番茄,6月的应季蔬菜有番茄。,用户参考
KB0263,6月,月份,夏,蔬菜,冬瓜,6月的应季蔬菜有冬瓜。,用户参考
KB0264,6月,月份,夏,蔬菜,丝瓜,6月的应季蔬菜有丝瓜。,用户参考
KB0265,6月,月份,夏,蔬菜,茄子,6月的应季蔬菜有茄子。,用户参考
KB0266,6月,月份,夏,蔬菜,南瓜,6月的应季蔬菜有南瓜。,用户参考
KB0267,6月,月份,夏,蔬菜,卷心菜,6月的应季蔬菜有卷心菜。,用户参考
KB0268,6月,月份,夏,蔬菜,土豆,6月的应季蔬菜有土豆。,用户参考
KB0269,6月,月份,夏,蔬菜,鸡毛菜,6月的应季蔬菜有鸡毛菜。,用户参考
KB0270,6月,月份,夏,蔬菜,刀豆,6月的应季蔬菜有刀豆。,用户参考
KB0271,6月,月份,夏,蔬菜,豇豆,6月的应季蔬菜有豇豆。,用户参考
KB0272,6月,月份,夏,蔬菜,毛豆,6月的应季蔬菜有毛豆。,用户参考
KB0273,6月,月份,夏,水果汇总,6月的水果,6月的应季水果共 10 种：西瓜、杨梅、樱桃、荔枝、枇杷（尾季）、水蜜桃、哈密瓜、火龙果、龙眼、葡萄（早熟）。,用户参考
KB0274,6月,月份,夏,蔬菜汇总,6月的蔬菜,6月的应季蔬菜共 12 种：黄瓜、番茄、冬瓜、丝瓜、茄子、南瓜、卷心菜、土豆、鸡毛菜、刀豆、豇豆、毛豆。,用户参考
KB0275,7月,月份,夏,水果,西瓜,7月的应季水果有西瓜。,用户参考
KB0276,7月,月份,夏,水果,荔枝,7月的应季水果有荔枝。,用户参考
KB0277,7月,月份,夏,水果,水蜜桃,7月的应季水果有水蜜桃。,用户参考
KB0278,7月,月份,夏,水果,哈密瓜,7月的应季水果有哈密瓜。,用户参考
KB0279,7月,月份,夏,水果,榴莲,7月的应季水果有榴莲。,用户参考
KB0280,7月,月份,夏,水果,杨梅,7月的应季水果有杨梅。,用户参考
KB0281,7月,月份,夏,水果,龙眼,7月的应季水果有龙眼。,用户参考
KB0282,7月,月份,夏,水果,黄皮,7月的应季水果有黄皮。,用户参考
KB0283,7月,月份,夏,水果,葡萄,7月的应季水果有葡萄。,用户参考
KB0284,7月,月份,夏,水果,无花果,7月的应季水果有无花果。,用户参考
KB0285,7月,月份,夏,水果,百香果,7月的应季水果有百香果。,用户参考
KB0286,7月,月份,夏,蔬菜,黄瓜,7月的应季蔬菜有黄瓜。,用户参考
KB0287,7月,月份,夏,蔬菜,番茄,7月的应季蔬菜有番茄。,用户参考
KB0288,7月,月份,夏,蔬菜,冬瓜,7月的应季蔬菜有冬瓜。,用户参考
KB0289,7月,月份,夏,蔬菜,丝瓜,7月的应季蔬菜有丝瓜。,用户参考
KB0290,7月,月份,夏,蔬菜,苦瓜,7月的应季蔬菜有苦瓜。,用户参考
KB0291,7月,月份,夏,蔬菜,茄子,7月的应季蔬菜有茄子。,用户参考
KB0292,7月,月份,夏,蔬菜,豇豆,7月的应季蔬菜有豇豆。,用户参考
KB0293,7月,月份,夏,蔬菜,扁豆,7月的应季蔬菜有扁豆。,用户参考
KB0294,7月,月份,夏,蔬菜,空心菜,7月的应季蔬菜有空心菜。,用户参考
KB0295,7月,月份,夏,蔬菜,毛豆,7月的应季蔬菜有毛豆。,用户参考
KB0296,7月,月份,夏,蔬菜,辣椒,7月的应季蔬菜有辣椒。,用户参考
KB0297,7月,月份,夏,蔬菜,土豆,7月的应季蔬菜有土豆。,用户参考
KB0298,7月,月份,夏,蔬菜,卷心菜,7月的应季蔬菜有卷心菜。,用户参考
KB0299,7月,月份,夏,水果汇总,7月的水果,7月的应季水果共 11 种：西瓜、荔枝、水蜜桃、哈密瓜、榴莲、杨梅、龙眼、黄皮、葡萄、无花果、百香果。,用户参考
KB0300,7月,月份,夏,蔬菜汇总,7月的蔬菜,7月的应季蔬菜共 13 种：黄瓜、番茄、冬瓜、丝瓜、苦瓜、茄子、豇豆、扁豆、空心菜、毛豆、辣椒、土豆、卷心菜。,用户参考
KB0301,8月,月份,夏,水果,西瓜,8月的应季水果有西瓜。,用户参考
KB0302,8月,月份,夏,水果,水蜜桃,8月的应季水果有水蜜桃。,用户参考
KB0303,8月,月份,夏,水果,哈密瓜,8月的应季水果有哈密瓜。,用户参考
KB0304,8月,月份,夏,水果,榴莲,8月的应季水果有榴莲。,用户参考
KB0305,8月,月份,夏,水果,葡萄,8月的应季水果有葡萄。,用户参考
KB0306,8月,月份,夏,水果,石榴,8月的应季水果有石榴。,用户参考
KB0307,8月,月份,夏,水果,梨,8月的应季水果有梨（早熟）。,用户参考
KB0308,8月,月份,夏,水果,冬枣,8月的应季水果有冬枣。,用户参考
KB0309,8月,月份,夏,水果,龙眼,8月的应季水果有龙眼。,用户参考
KB0310,8月,月份,夏,蔬菜,冬瓜,8月的应季蔬菜有冬瓜。,用户参考
KB0311,8月,月份,夏,蔬菜,丝瓜,8月的应季蔬菜有丝瓜。,用户参考
KB0312,8月,月份,夏,蔬菜,苦瓜,8月的应季蔬菜有苦瓜。,用户参考
KB0313,8月,月份,夏,蔬菜,茄子,8月的应季蔬菜有茄子。,用户参考
KB0314,8月,月份,夏,蔬菜,豇豆,8月的应季蔬菜有豇豆。,用户参考
KB0315,8月,月份,夏,蔬菜,扁豆,8月的应季蔬菜有扁豆。,用户参考
KB0316,8月,月份,夏,蔬菜,空心菜,8月的应季蔬菜有空心菜。,用户参考
KB0317,8月,月份,夏,蔬菜,毛豆,8月的应季蔬菜有毛豆。,用户参考
KB0318,8月,月份,夏,蔬菜,辣椒,8月的应季蔬菜有辣椒。,用户参考
KB0319,8月,月份,夏,蔬菜,南瓜,8月的应季蔬菜有南瓜。,用户参考
KB0320,8月,月份,夏,蔬菜,土豆,8月的应季蔬菜有土豆。,用户参考
KB0321,8月,月份,夏,蔬菜,卷心菜,8月的应季蔬菜有卷心菜。,用户参考
KB0322,8月,月份,夏,蔬菜,青菜,8月的应季蔬菜有青菜。,用户参考
KB0323,8月,月份,夏,水果汇总,8月的水果,8月的应季水果共 9 种：西瓜、水蜜桃、哈密瓜、榴莲、葡萄、石榴、梨（早熟）、冬枣、龙眼。,用户参考
KB0324,8月,月份,夏,蔬菜汇总,8月的蔬菜,8月的应季蔬菜共 13 种：冬瓜、丝瓜、苦瓜、茄子、豇豆、扁豆、空心菜、毛豆、辣椒、南瓜、土豆、卷心菜、青菜。,用户参考
KB0325,9月,月份,秋,水果,葡萄,9月的应季水果有葡萄。,用户参考
KB0326,9月,月份,秋,水果,石榴,9月的应季水果有石榴。,用户参考
KB0327,9月,月份,秋,水果,梨,9月的应季水果有梨。,用户参考
KB0328,9月,月份,秋,水果,哈密瓜,9月的应季水果有哈密瓜。,用户参考
KB0329,9月,月份,秋,水果,柚子,9月的应季水果有柚子。,用户参考
KB0330,9月,月份,秋,水果,柿子,9月的应季水果有柿子。,用户参考
KB0331,9月,月份,秋,水果,山楂,9月的应季水果有山楂。,用户参考
KB0332,9月,月份,秋,水果,冬枣,9月的应季水果有冬枣。,用户参考
KB0333,9月,月份,秋,蔬菜,冬瓜,9月的应季蔬菜有冬瓜。,用户参考
KB0334,9月,月份,秋,蔬菜,丝瓜,9月的应季蔬菜有丝瓜。,用户参考
KB0335,9月,月份,秋,蔬菜,毛豆,9月的应季蔬菜有毛豆。,用户参考
KB0336,9月,月份,秋,蔬菜,豇豆,9月的应季蔬菜有豇豆。,用户参考
KB0337,9月,月份,秋,蔬菜,茄子,9月的应季蔬菜有茄子。,用户参考
KB0338,9月,月份,秋,蔬菜,辣椒,9月的应季蔬菜有辣椒。,用户参考
KB0339,9月,月份,秋,蔬菜,芋头,9月的应季蔬菜有芋头。,用户参考
KB0340,9月,月份,秋,蔬菜,茭白,9月的应季蔬菜有茭白。,用户参考
KB0341,9月,月份,秋,蔬菜,莲藕,9月的应季蔬菜有莲藕。,用户参考
KB0342,9月,月份,秋,蔬菜,山药,9月的应季蔬菜有山药。,用户参考
KB0343,9月,月份,秋,蔬菜,秋葵,9月的应季蔬菜有秋葵。,用户参考
KB0344,9月,月份,秋,蔬菜,白萝卜,9月的应季蔬菜有白萝卜。,用户参考
KB0345,9月,月份,秋,蔬菜,大白菜,9月的应季蔬菜有大白菜。,用户参考
KB0346,9月,月份,秋,蔬菜,卷心菜,9月的应季蔬菜有卷心菜。,用户参考
KB0347,9月,月份,秋,水果汇总,9月的水果,9月的应季水果共 8 种：葡萄、石榴、梨、哈密瓜、柚子、柿子、山楂、冬枣。,用户参考
KB0348,9月,月份,秋,蔬菜汇总,9月的蔬菜,9月的应季蔬菜共 14 种：冬瓜、丝瓜、毛豆、豇豆、茄子、辣椒、芋头、茭白、莲藕、山药、秋葵、白萝卜、大白菜、卷心菜。,用户参考
KB0349,10月,月份,秋,水果,苹果,10月的应季水果有苹果。,用户参考
KB0350,10月,月份,秋,水果,梨,10月的应季水果有梨。,用户参考
KB0351,10月,月份,秋,水果,石榴,10月的应季水果有石榴。,用户参考
KB0352,10月,月份,秋,水果,柿子,10月的应季水果有柿子。,用户参考
KB0353,10月,月份,秋,水果,葡萄,10月的应季水果有葡萄（晚熟）。,用户参考
KB0354,10月,月份,秋,水果,猕猴桃,10月的应季水果有猕猴桃。,用户参考
KB0355,10月,月份,秋,水果,柑橘,10月的应季水果有柑橘。,用户参考
KB0356,10月,月份,秋,水果,橙子,10月的应季水果有橙子。,用户参考
KB0357,10月,月份,秋,水果,甘蔗,10月的应季水果有甘蔗。,用户参考
KB0358,10月,月份,秋,水果,冬枣,10月的应季水果有冬枣（尾季）。,用户参考
KB0359,10月,月份,秋,蔬菜,大白菜,10月的应季蔬菜有大白菜。,用户参考
KB0360,10月,月份,秋,蔬菜,白萝卜,10月的应季蔬菜有白萝卜。,用户参考
KB0361,10月,月份,秋,蔬菜,芋头,10月的应季蔬菜有芋头。,用户参考
KB0362,10月,月份,秋,蔬菜,茭白,10月的应季蔬菜有茭白。,用户参考
KB0363,10月,月份,秋,蔬菜,莲藕,10月的应季蔬菜有莲藕。,用户参考
KB0364,10月,月份,秋,蔬菜,山药,10月的应季蔬菜有山药。,用户参考
KB0365,10月,月份,秋,蔬菜,花菜,10月的应季蔬菜有花菜。,用户参考
KB0366,10月,月份,秋,蔬菜,西兰花,10月的应季蔬菜有西兰花。,用户参考
KB0367,10月,月份,秋,蔬菜,生菜,10月的应季蔬菜有生菜。,用户参考
KB0368,10月,月份,秋,蔬菜,菠菜,10月的应季蔬菜有菠菜。,用户参考
KB0369,10月,月份,秋,蔬菜,芹菜,10月的应季蔬菜有芹菜。,用户参考
KB0370,10月,月份,秋,蔬菜,卷心菜,10月的应季蔬菜有卷心菜。,用户参考
KB0371,10月,月份,秋,蔬菜,茼蒿,10月的应季蔬菜有茼蒿。,用户参考
KB0372,10月,月份,秋,水果汇总,10月的水果,10月的应季水果共 10 种：苹果、梨、石榴、柿子、葡萄（晚熟）、猕猴桃、柑橘、橙子、甘蔗、冬枣（尾季）。,用户参考
KB0373,10月,月份,秋,蔬菜汇总,10月的蔬菜,10月的应季蔬菜共 13 种：大白菜、白萝卜、芋头、茭白、莲藕、山药、花菜、西兰花、生菜、菠菜、芹菜、卷心菜、茼蒿。,用户参考
KB0374,11月,月份,秋,水果,苹果,11月的应季水果有苹果。,用户参考
KB0375,11月,月份,秋,水果,梨,11月的应季水果有梨。,用户参考
KB0376,11月,月份,秋,水果,柚子,11月的应季水果有柚子。,用户参考
KB0377,11月,月份,秋,水果,柿子,11月的应季水果有柿子。,用户参考
KB0378,11月,月份,秋,水果,山楂,11月的应季水果有山楂。,用户参考
KB0379,11月,月份,秋,水果,猕猴桃,11月的应季水果有猕猴桃。,用户参考
KB0380,11月,月份,秋,水果,甘蔗,11月的应季水果有甘蔗。,用户参考
KB0381,11月,月份,秋,水果,脐橙,11月的应季水果有脐橙。,用户参考
KB0382,11月,月份,秋,水果,皇帝柑,11月的应季水果有皇帝柑。,用户参考
KB0383,11月,月份,秋,水果,草莓,11月的应季水果有草莓（大棚初上市）。,用户参考
KB0384,11月,月份,秋,水果,荸荠,11月的应季水果有荸荠。,用户参考
KB0385,11月,月份,秋,蔬菜,大白菜,11月的应季蔬菜有大白菜。,用户参考
KB0386,11月,月份,秋,蔬菜,白萝卜,11月的应季蔬菜有白萝卜。,用户参考
KB0387,11月,月份,秋,蔬菜,莴笋,11月的应季蔬菜有莴笋。,用户参考
KB0388,11月,月份,秋,蔬菜,花菜,11月的应季蔬菜有花菜。,用户参考
KB0389,11月,月份,秋,蔬菜,西兰花,11月的应季蔬菜有西兰花。,用户参考
KB0390,11月,月份,秋,蔬菜,荠菜,11月的应季蔬菜有荠菜。,用户参考
KB0391,11月,月份,秋,蔬菜,草头,11月的应季蔬菜有草头。,用户参考
KB0392,11月,月份,秋,蔬菜,生菜,11月的应季蔬菜有生菜。,用户参考
KB0393,11月,月份,秋,蔬菜,茨菇,11月的应季蔬菜有茨菇。,用户参考
KB0394,11月,月份,秋,蔬菜,青蒜,11月的应季蔬菜有青蒜。,用户参考
KB0395,11月,月份,秋,蔬菜,菠菜,11月的应季蔬菜有菠菜。,用户参考
KB0396,11月,月份,秋,蔬菜,芹菜,11月的应季蔬菜有芹菜。,用户参考
KB0397,11月,月份,秋,蔬菜,卷心菜,11月的应季蔬菜有卷心菜。,用户参考
KB0398,11月,月份,秋,水果汇总,11月的水果,11月的应季水果共 11 种：苹果、梨、柚子、柿子、山楂、猕猴桃、甘蔗、脐橙、皇帝柑、草莓（大棚初上市）、荸荠。,用户参考
KB0399,11月,月份,秋,蔬菜汇总,11月的蔬菜,11月的应季蔬菜共 13 种：大白菜、白萝卜、莴笋、花菜、西兰花、荠菜、草头、生菜、茨菇、青蒜、菠菜、芹菜、卷心菜。,用户参考
KB0400,12月,月份,冬,水果,砂糖橘,12月的应季水果有砂糖橘。,用户参考
KB0401,12月,月份,冬,水果,沃柑,12月的应季水果有沃柑。,用户参考
KB0402,12月,月份,冬,水果,赣南脐橙,12月的应季水果有赣南脐橙。,用户参考
KB0403,12月,月份,冬,水果,猕猴桃,12月的应季水果有猕猴桃。,用户参考
KB0404,12月,月份,冬,水果,山楂,12月的应季水果有山楂。,用户参考
KB0405,12月,月份,冬,水果,甘蔗,12月的应季水果有甘蔗。,用户参考
KB0406,12月,月份,冬,水果,草莓,12月的应季水果有草莓（大棚）。,用户参考
KB0407,12月,月份,冬,水果,车厘子,12月的应季水果有车厘子（进口）。,用户参考
KB0408,12月,月份,冬,水果,金桔,12月的应季水果有金桔。,用户参考
KB0409,12月,月份,冬,水果,释迦,12月的应季水果有释迦。,用户参考
KB0410,12月,月份,冬,蔬菜,大白菜,12月的应季蔬菜有大白菜。,用户参考
KB0411,12月,月份,冬,蔬菜,白萝卜,12月的应季蔬菜有白萝卜。,用户参考
KB0412,12月,月份,冬,蔬菜,塌菜,12月的应季蔬菜有塌菜。,用户参考
KB0413,12月,月份,冬,蔬菜,荠菜,12月的应季蔬菜有荠菜。,用户参考
KB0414,12月,月份,冬,蔬菜,茨菇,12月的应季蔬菜有茨菇。,用户参考
KB0415,12月,月份,冬,蔬菜,花菜,12月的应季蔬菜有花菜。,用户参考
KB0416,12月,月份,冬,蔬菜,菠菜,12月的应季蔬菜有菠菜。,用户参考
KB0417,12月,月份,冬,蔬菜,芹菜,12月的应季蔬菜有芹菜。,用户参考
KB0418,12月,月份,冬,蔬菜,卷心菜,12月的应季蔬菜有卷心菜。,用户参考
KB0419,12月,月份,冬,蔬菜,香菇,12月的应季蔬菜有香菇。,用户参考
KB0420,12月,月份,冬,蔬菜,胡萝卜,12月的应季蔬菜有胡萝卜。,用户参考
KB0421,12月,月份,冬,水果汇总,12月的水果,12月的应季水果共 10 种：砂糖橘、沃柑、赣南脐橙、猕猴桃、山楂、甘蔗、草莓（大棚）、车厘子（进口）、金桔、释迦。,用户参考
KB0422,12月,月份,冬,蔬菜汇总,12月的蔬菜,12月的应季蔬菜共 11 种：大白菜、白萝卜、塌菜、荠菜、茨菇、花菜、菠菜、芹菜、卷心菜、香菇、胡萝卜。,用户参考
KB0423,立春,节气,春,食材,洋葱,立春（2月3-5日）宜吃洋葱，春季抗敏感的健康好食材。,用户参考
KB0424,立春,节气,春,食材,芹菜,立春（2月3-5日）宜吃芹菜，盐巴减量的天然佐料菜。,用户参考
KB0425,立春,节气,春,食材,樱桃,立春（2月3-5日）宜吃樱桃，属于春天的粉红色气息。,用户参考
KB0426,立春,节气,春,食材,草莓,立春（2月3-5日）宜吃草莓，红通通的女孩儿养颜圣品。,用户参考
KB0427,立春,节气,春,菜品,春卷,立春（2月3-5日）的食俗是吃春卷。,用户参考
KB0428,立春,节气,春,食材汇总,立春的食材,立春（2月3-5日）的应季食材共 4 种：洋葱、芹菜、樱桃、草莓。万物蠢动,用户参考
KB0429,立春,节气,春,菜品汇总,立春的菜品,立春（2月3-5日）的食俗：立春吃春卷。,用户参考
KB0430,雨水,节气,春,食材,红枣,雨水（2月18-20日）宜吃红枣，血气红润脸上拂春风。,用户参考
KB0431,雨水,节气,春,食材,燕麦,雨水（2月18-20日）宜吃燕麦，降低胆固醇的减重主食。,用户参考
KB0432,雨水,节气,春,食材,韭菜,雨水（2月18-20日）宜吃韭菜，补气壮阳不怕春「困」扰。,用户参考
KB0433,雨水,节气,春,食材,豆豉,雨水（2月18-20日）宜吃豆豉，家常特色菜肴的最佳配角。,用户参考
KB0434,雨水,节气,春,菜品,龙须饼,雨水（2月18-20日）的食俗是吃龙须饼。,用户参考
KB0435,雨水,节气,春,食材汇总,雨水的食材,雨水（2月18-20日）的应季食材共 4 种：红枣、燕麦、韭菜、豆豉。春雨绵绵,用户参考
KB0436,雨水,节气,春,菜品汇总,雨水的菜品,雨水（2月18-20日）的食俗：雨水吃龙须饼。,用户参考
KB0437,惊蛰,节气,春,食材,胡萝卜,惊蛰（3月5-7日）宜吃胡萝卜，打造明亮的双眸招蜂引蝶。,用户参考
KB0438,惊蛰,节气,春,食材,菜花,惊蛰（3月5-7日）宜吃菜花，通便宽肠的免疫力好帮手。,用户参考
KB0439,惊蛰,节气,春,食材,小白菜,惊蛰（3月5-7日）宜吃小白菜，深绿色蔬菜是养肝救星。,用户参考
KB0440,惊蛰,节气,春,食材,开心果,惊蛰（3月5-7日）宜吃开心果，喜上眉梢免惊春雷隆隆响。,用户参考
KB0441,惊蛰,节气,春,菜品,驴打滚,惊蛰（3月5-7日）的食俗是吃驴打滚。,用户参考
KB0442,惊蛰,节气,春,食材汇总,惊蛰的食材,惊蛰（3月5-7日）的应季食材共 4 种：胡萝卜、菜花、小白菜、开心果。初雷乍响,用户参考
KB0443,惊蛰,节气,春,菜品汇总,惊蛰的菜品,惊蛰（3月5-7日）的食俗：惊蛰吃驴打滚。,用户参考
KB0444,春分,节气,春,食材,菠菜,春分（3月20-22日）宜吃菠菜，大力水手的超级能量罐头。,用户参考
KB0445,春分,节气,春,食材,荠菜,春分（3月20-22日）宜吃荠菜，越嚼越顺口的护生野草。,用户参考
KB0446,春分,节气,春,食材,豌豆,春分（3月20-22日）宜吃豌豆，咬一口春天的鲜嫩感。,用户参考
KB0447,春分,节气,春,食材,蚕豆,春分（3月20-22日）宜吃蚕豆，健脑补钙聪明一整年。,用户参考
KB0448,春分,节气,春,菜品,春菜,春分（3月20-22日）的食俗是吃春菜。,用户参考
KB0449,春分,节气,春,食材汇总,春分的食材,春分（3月20-22日）的应季食材共 4 种：菠菜、荠菜、豌豆、蚕豆。昼夜对分,用户参考
KB0450,春分,节气,春,菜品汇总,春分的菜品,春分（3月20-22日）的食俗：春分吃春菜。,用户参考
KB0451,清明,节气,春,食材,小米,清明（4月4-6日）宜吃小米，为迎接春神煮上一锅粥。,用户参考
KB0452,清明,节气,春,食材,香蕉,清明（4月4-6日）宜吃香蕉，许你快乐情绪雨季不忧郁。,用户参考
KB0453,清明,节气,春,食材,菊花,清明（4月4-6日）宜吃菊花，清肝明目养生菊花香。,用户参考
KB0454,清明,节气,春,食材,蒜薹,清明（4月4-6日）宜吃蒜薹，自然赠予的天然抗生素。,用户参考
KB0455,清明,节气,春,菜品,青团,清明（4月4-6日）的食俗是吃青团。,用户参考
KB0456,清明,节气,春,食材汇总,清明的食材,清明（4月4-6日）的应季食材共 4 种：小米、香蕉、菊花、蒜薹。草木萌生,用户参考
KB0457,清明,节气,春,菜品汇总,清明的菜品,清明（4月4-6日）的食俗：清明吃青团。,用户参考
KB0458,谷雨,节气,春,食材,香椿,谷雨（4月19-21日）宜吃香椿，香气浓郁的树上新芽菜。,用户参考
KB0459,谷雨,节气,春,食材,番茄,谷雨（4月19-21日）宜吃番茄，保护强心脏的爱情果实。,用户参考
KB0460,谷雨,节气,春,食材,竹笋,谷雨（4月19-21日）宜吃竹笋，娇嫩欲滴的雨后春笋。,用户参考
KB0461,谷雨,节气,春,食材,小麦,谷雨（4月19-21日）宜吃小麦，麦穗在阳光下金光闪闪。,用户参考
KB0462,谷雨,节气,春,菜品,香椿,谷雨（4月19-21日）的食俗是采茶食香椿。,用户参考
KB0463,谷雨,节气,春,食材汇总,谷雨的食材,谷雨（4月19-21日）的应季食材共 4 种：香椿、番茄、竹笋、小麦。雨养百谷,用户参考
KB0464,谷雨,节气,春,菜品汇总,谷雨的菜品,谷雨（4月19-21日）的食俗：谷雨采茶食香椿。,用户参考
KB0465,立夏,节气,夏,食材,莴笋,立夏（5月5-7日）宜吃莴笋，解油腻的清爽沙拉拍档。,用户参考
KB0466,立夏,节气,夏,食材,薏米,立夏（5月5-7日）宜吃薏米，盛夏时光和水肿说拜拜。,用户参考
KB0467,立夏,节气,夏,食材,椰子,立夏（5月5-7日）宜吃椰子，国境之南的解暑饮品。,用户参考
KB0468,立夏,节气,夏,食材,空心菜,立夏（5月5-7日）宜吃空心菜，降火气的食物中毒克星。,用户参考
KB0469,立夏,节气,夏,菜品,鸭蛋,立夏（5月5-7日）的食俗是吃鸭蛋。,用户参考
KB0470,立夏,节气,夏,食材汇总,立夏的食材,立夏（5月5-7日）的应季食材共 4 种：莴笋、薏米、椰子、空心菜。夏夜渐暖,用户参考
KB0471,立夏,节气,夏,菜品汇总,立夏的菜品,立夏（5月5-7日）的食俗：立夏吃鸭蛋。,用户参考
KB0472,小满,节气,夏,食材,苋菜,小满（5月20-22日）宜吃苋菜，高铁高钙的长寿叶菜。,用户参考
KB0473,小满,节气,夏,食材,青椒,小满（5月20-22日）宜吃青椒，小灯笼加速脂肪的燃烧。,用户参考
KB0474,小满,节气,夏,食材,桑葚,小满（5月20-22日）宜吃桑葚，恣意享受田园好风情。,用户参考
KB0475,小满,节气,夏,食材,绿豆,小满（5月20-22日）宜吃绿豆，夏日消暑的必备第一品。,用户参考
KB0476,小满,节气,夏,菜品,苦菜,小满（5月20-22日）的食俗是吃苦菜。,用户参考
KB0477,小满,节气,夏,食材汇总,小满的食材,小满（5月20-22日）的应季食材共 4 种：苋菜、青椒、桑葚、绿豆。谷粒饱满,用户参考
KB0478,小满,节气,夏,菜品汇总,小满的菜品,小满（5月20-22日）的食俗：小满吃苦菜。,用户参考
KB0479,芒种,节气,夏,食材,玉米,芒种（6月5-7日）宜吃玉米，纤维丰富的肠道保健王。,用户参考
KB0480,芒种,节气,夏,食材,黄瓜,芒种（6月5-7日）宜吃黄瓜，料理不败的凉拌常备菜。,用户参考
KB0481,芒种,节气,夏,食材,豇豆,芒种（6月5-7日）宜吃豇豆，开胃爽脆的夏季营养豆儿。,用户参考
KB0482,芒种,节气,夏,食材,高粱,芒种（6月5-7日）宜吃高粱，热天品酩之一杯微微醺。,用户参考
KB0483,芒种,节气,夏,食材,乌梅,芒种（6月5-7日）宜吃乌梅，生津止渴的酸味佳果。,用户参考
KB0484,芒种,节气,夏,菜品,梅子,芒种（6月5-7日）的食俗是吃梅子。,用户参考
KB0485,芒种,节气,夏,食材汇总,芒种的食材,芒种（6月5-7日）的应季食材共 5 种：玉米、黄瓜、豇豆、高粱、乌梅。结实成穗,用户参考
KB0486,芒种,节气,夏,菜品汇总,芒种的菜品,芒种（6月5-7日）的食俗：芒种吃梅子。,用户参考
KB0487,夏至,节气,夏,食材,冬瓜,夏至（6月21-22日）宜吃冬瓜，名不副实的仲夏夜瓜瓜。,用户参考
KB0488,夏至,节气,夏,食材,莲子,夏至（6月21-22日）宜吃莲子，脑力工作者的补脑灵丹。,用户参考
