日历id,层级,时间名称,所属季节,类别,名称,备注,推荐理由,数据来源
节气-大寒,节气,大寒,冬,菜品,年糕,,大寒吃年糕,用户参考
节气-大暑,节气,大暑,夏,食材,苦瓜,,吃苦吃补的降血糖蔬食,用户参考
节气-大暑,节气,大暑,夏,食材,荔枝,,妃子也疯狂的炎夏珍珠,用户参考
节气-大暑,节气,大暑,夏,食材,西瓜,,无它不夏天的解暑良品,用户参考
节气-大暑,节气,大暑,夏,食材,鸭肉,,肥美多汁的优质蛋白质,用户参考
节气-大暑,节气,大暑,夏,菜品,仙草,,大暑吃仙草,用户参考
节气-大雪,节气,大雪,冬,食材,白萝卜,,平民老百姓的养气人参,用户参考
节气-大雪,节气,大雪,冬,食材,橄榄,,轻轻品嚼苦涩也变得清甜,用户参考
节气-大雪,节气,大雪,冬,食材,橘子,,烤过入口增添几分暖意,用户参考
节气-大雪,节气,大雪,冬,食材,牛肉,,暖胃补益提高机体抗病力,用户参考
节气-大雪,节气,大雪,冬,菜品,粥,,大雪喝粥,用户参考
节气-寒露,节气,寒露,秋,食材,杏仁,,白色系食材为养肺首选,用户参考
节气-寒露,节气,寒露,秋,食材,猕猴桃,,秋愁浓浓的微酸小清新,用户参考
节气-寒露,节气,寒露,秋,食材,覆盆子,,壮阳滋阴的男女瑰宝,用户参考
节气-寒露,节气,寒露,秋,食材,秀珍菇,,秋日快烹的下饭好菇到,用户参考
节气-寒露,节气,寒露,秋,食材,草虾,,当季最鲜美疗愈大海味,用户参考
节气-寒露,节气,寒露,秋,菜品,芝麻,,寒露吃芝麻,用户参考
节气-小寒,节气,小寒,冬,食材,葵花籽,,多多吃防止手脚皮肤干裂,用户参考
节气-小寒,节气,小寒,冬,食材,黑豆,,冬季刮起的黑色养生旋风,用户参考
节气-小寒,节气,小寒,冬,食材,鲫鱼,,清蒸或炖汤的补益鲜鱼,用户参考
节气-小寒,节气,小寒,冬,食材,羊肉,,眩晕冬季的贫血补充剂,用户参考
节气-小寒,节气,小寒,冬,菜品,腊八粥,,小寒喝腊八粥,用户参考
节气-小暑,节气,小暑,夏,食材,南瓜,,饱含营养素的绵密果肉,用户参考
节气-小暑,节气,小暑,夏,食材,丝瓜,,棚架下垂吊的成长日记,用户参考
节气-小暑,节气,小暑,夏,食材,黄花菜,,从生鲜到干燥都好好食,用户参考
节气-小暑,节气,小暑,夏,食材,桃子,,猴屁股一般的形状很讨喜,用户参考
节气-小暑,节气,小暑,夏,食材,鳝鱼,,夏季吃鳝鱼胜过补人参,用户参考
节气-小暑,节气,小暑,夏,菜品,新米,,小暑食新米,用户参考
节气-小满,节气,小满,夏,食材,苋菜,,高铁高钙的长寿叶菜,用户参考
节气-小满,节气,小满,夏,食材,青椒,,小灯笼加速脂肪的燃烧,用户参考
节气-小满,节气,小满,夏,食材,桑葚,,恣意享受田园好风情,用户参考
节气-小满,节气,小满,夏,食材,绿豆,,夏日消暑的必备第一品,用户参考
节气-小满,节气,小满,夏,菜品,苦菜,,小满吃苦菜,用户参考
节气-小雪,节气,小雪,冬,食材,芥菜,,将岁末的福气腌起来保存,用户参考
节气-小雪,节气,小雪,冬,食材,荸荠,,蔬菜水果傻傻分不清楚,用户参考
节气-小雪,节气,小雪,冬,食材,木耳,,打通血液堵塞的清道夫,用户参考
节气-小雪,节气,小雪,冬,食材,核桃,,增加记忆力的护脑长寿果,用户参考
节气-小雪,节气,小雪,冬,菜品,腊肉,,小雪吃腊肉,用户参考
节气-惊蛰,节气,惊蛰,春,食材,胡萝卜,,打造明亮的双眸招蜂引蝶,用户参考
节气-惊蛰,节气,惊蛰,春,食材,菜花,,通便宽肠的免疫力好帮手,用户参考
节气-惊蛰,节气,惊蛰,春,食材,小白菜,,深绿色蔬菜是养肝救星,用户参考
节气-惊蛰,节气,惊蛰,春,食材,开心果,,喜上眉梢免惊春雷隆隆响,用户参考
节气-惊蛰,节气,惊蛰,春,菜品,驴打滚,,惊蛰吃驴打滚,用户参考
节气-春分,节气,春分,春,食材,菠菜,,大力水手的超级能量罐头,用户参考
节气-春分,节气,春分,春,食材,荠菜,,越嚼越顺口的护生野草,用户参考
节气-春分,节气,春分,春,食材,豌豆,,咬一口春天的鲜嫩感,用户参考
节气-春分,节气,春分,春,食材,蚕豆,,健脑补钙聪明一整年,用户参考
节气-春分,节气,春分,春,菜品,春菜,,春分吃春菜,用户参考
节气-清明,节气,清明,春,食材,小米,,为迎接春神煮上一锅粥,用户参考
节气-清明,节气,清明,春,食材,香蕉,,许你快乐情绪雨季不忧郁,用户参考
节气-清明,节气,清明,春,食材,菊花,,清肝明目养生菊花香,用户参考
节气-清明,节气,清明,春,食材,蒜薹,,自然赠予的天然抗生素,用户参考
节气-清明,节气,清明,春,菜品,青团,,清明吃青团,用户参考
节气-白露,节气,白露,秋,食材,大米,,五谷丰登之收获好时节,用户参考
节气-白露,节气,白露,秋,食材,木瓜,,养颜丰胸的百搭水果,用户参考
节气-白露,节气,白露,秋,食材,葡萄,,皇家后院种的万能灵药,用户参考
节气-白露,节气,白露,秋,食材,柚子,,中秋节烤肉的抗癌好物,用户参考
节气-白露,节气,白露,秋,菜品,米酒,,白露饮米酒,用户参考
节气-秋分,节气,秋分,秋,食材,芋头,,入口即化的优良淀粉,用户参考
节气-秋分,节气,秋分,秋,食材,山药,,改善秋燥的补益中药材,用户参考
节气-秋分,节气,秋分,秋,食材,莲藕,,药食同源一身都是宝,用户参考
节气-秋分,节气,秋分,秋,食材,香菇,,养生风潮下的热门话题,用户参考
节气-秋分,节气,秋分,秋,食材,芝麻,,银发族的保健处方,用户参考
节气-秋分,节气,秋分,秋,菜品,芋饼,,秋分吃芋饼,用户参考
节气-立冬,节气,立冬,冬,食材,紫米,,温粥进补强身不畏寒,用户参考
节气-立冬,节气,立冬,冬,食材,海参,,海中珍品抵御寒冷来袭,用户参考
节气-立冬,节气,立冬,冬,食材,栗子,,路边摊弥漫的爆炒焦香味,用户参考
节气-立冬,节气,立冬,冬,食材,松子,,不饱和脂肪酸代谢脑废物,用户参考
节气-立冬,节气,立冬,冬,菜品,鸡汤,,立冬喝鸡汤,用户参考
节气-立夏,节气,立夏,夏,食材,莴笋,,解油腻的清爽沙拉拍档,用户参考
节气-立夏,节气,立夏,夏,食材,薏米,,盛夏时光和水肿说拜拜,用户参考
节气-立夏,节气,立夏,夏,食材,椰子,,国境之南的解暑饮品,用户参考
节气-立夏,节气,立夏,夏,食材,空心菜,,降火气的食物中毒克星,用户参考
节气-立夏,节气,立夏,夏,菜品,鸭蛋,,立夏吃鸭蛋,用户参考
节气-立春,节气,立春,春,食材,洋葱,,春季抗敏感的健康好食材,用户参考
节气-立春,节气,立春,春,食材,芹菜,,盐巴减量的天然佐料菜,用户参考
节气-立春,节气,立春,春,食材,樱桃,,属于春天的粉红色气息,用户参考
节气-立春,节气,立春,春,食材,草莓,,红通通的女孩儿养颜圣品,用户参考
节气-立春,节气,立春,春,菜品,春卷,,立春吃春卷,用户参考
节气-立秋,节气,立秋,秋,食材,茄子,,秋季食疗养生第一蔬,用户参考
节气-立秋,节气,立秋,秋,食材,红薯,,落叶土窑体验童年回忆,用户参考
节气-立秋,节气,立秋,秋,食材,梨,,止咳化痰的润肺矿泉水,用户参考
节气-立秋,节气,立秋,秋,食材,柠檬,,酸香清爽的坏血病克星,用户参考
节气-立秋,节气,立秋,秋,食材,哈密瓜,,秋天限定的当家甜瓜,用户参考
节气-立秋,节气,立秋,秋,菜品,西瓜,,立秋啃西瓜,用户参考
节气-芒种,节气,芒种,夏,食材,玉米,,纤维丰富的肠道保健王,用户参考
节气-芒种,节气,芒种,夏,食材,黄瓜,,料理不败的凉拌常备菜,用户参考
节气-芒种,节气,芒种,夏,食材,豇豆,,开胃爽脆的夏季营养豆儿,用户参考
节气-芒种,节气,芒种,夏,食材,高粱,,热天品酩之一杯微微醺,用户参考
节气-芒种,节气,芒种,夏,食材,乌梅,,生津止渴的酸味佳果,用户参考
节气-芒种,节气,芒种,夏,菜品,梅子,,芒种吃梅子,用户参考
节气-谷雨,节气,谷雨,春,食材,香椿,,香气浓郁的树上新芽菜,用户参考
节气-谷雨,节气,谷雨,春,食材,番茄,,保护强心脏的爱情果实,用户参考
节气-谷雨,节气,谷雨,春,食材,竹笋,,娇嫩欲滴的雨后春笋,用户参考
节气-谷雨,节气,谷雨,春,食材,小麦,,麦穗在阳光下金光闪闪,用户参考
节气-谷雨,节气,谷雨,春,菜品,香椿,,谷雨采茶食香椿,用户参考
节气-雨水,节气,雨水,春,食材,红枣,,血气红润脸上拂春风,用户参考
节气-雨水,节气,雨水,春,食材,燕麦,,降低胆固醇的减重主食,用户参考
节气-雨水,节气,雨水,春,食材,韭菜,,补气壮阳不怕春「困」扰,用户参考
节气-雨水,节气,雨水,春,食材,豆豉,,家常特色菜肴的最佳配角,用户参考
节气-雨水,节气,雨水,春,菜品,龙须饼,,雨水吃龙须饼,用户参考
节气-霜降,节气,霜降,秋,食材,柿子,,晒足日光浴的润肺秋礼,用户参考
节气-霜降,节气,霜降,秋,食材,苹果,,让医生远离的伊甸园果实,用户参考
节气-霜降,节气,霜降,秋,食材,黄豆,,皮肤干燥的水当当法宝,用户参考
节气-霜降,节气,霜降,秋,食材,蜂蜜,,深秋的味道蜜蜂最知道,用户参考
节气-霜降,节气,霜降,秋,食材,百合,,宽心安神的食疗系花卉,用户参考
节气-霜降,节气,霜降,秋,菜品,柿子,,霜降吃柿子,用户参考
